state,company,model,year,original_price,accident_score,repair_cost,km_driven,fuel_type,resale_price
Bihar,Honda,Amaze,2012,792000,6,117600,113219,Petrol,255000
Haryana,Maruti Suzuki,Baleno,2019,784000,4,37300,158624,Petrol,419000
Nagaland,Maruti Suzuki,Dzire,2016,792000,8,57600,22159,Diesel,319000
Arunachal Pradesh,Honda,Elevate,2020,1709000,4,41400,31610,Petrol,1190000
Uttarakhand,Volkswagen,Taigun,2018,1656000,3,29500,58335,Petrol,932000
Lakshadweep,Kia,Carens,2010,1380000,8,125800,218029,Petrol,131000
Dadra and Nagar Haveli and Daman and Diu,Honda,Elevate,2020,1388000,6,105800,104654,Diesel,668000
Lakshadweep,MG,Hector,2016,1786000,2,1100,188089,Diesel,451000
Maharashtra,MG,Astor,2015,1561000,5,34700,171505,Diesel,234000
Rajasthan,Toyota,Fortuner,2019,3952000,1,1100,91103,Petrol,3010000
Andhra Pradesh,Maruti Suzuki,Baleno,2021,828000,8,153000,189365,Petrol,299000
Chhattisgarh,Skoda,Kushaq,2023,1677000,8,82400,181059,Diesel,797000
Tripura,MG,Astor,2023,1352000,1,1000,206317,Diesel,808000
Madhya Pradesh,Volkswagen,Taigun,2010,1375000,5,49600,203815,Diesel,133000
Punjab,Mahindra,XUV700,2015,2402000,5,37300,14645,Petrol,1001000
Uttar Pradesh,Hyundai,Venue,2017,1123000,9,201600,49689,Petrol,385000
Himachal Pradesh,Hyundai,Creta,2019,1392000,4,39300,229258,Diesel,456000
Arunachal Pradesh,Skoda,Octavia,2018,2778000,8,50500,236499,Diesel,335000
Bihar,Toyota,Innova Crysta,2016,2758000,2,4200,76836,Diesel,1758000
Ladakh,Maruti Suzuki,Baleno,2016,734000,8,132900,144568,Petrol,219000
Sikkim,Hyundai,i20,2013,1032000,7,69500,185761,Petrol,209000
Sikkim,Honda,City,2011,1453000,8,163200,12306,Petrol,364000
Sikkim,Honda,City,2013,1235000,1,2700,94339,Petrol,691000
Andaman and Nicobar Islands,Hyundai,Verna,2011,1331000,1,3100,20908,Diesel,537000
Chhattisgarh,Tata,Nexon,2017,1351000,5,45000,19362,Diesel,570000
Bihar,Skoda,Kushaq,2016,1408000,2,3400,110298,Petrol,644000
Andhra Pradesh,Volkswagen,Virtus,2016,1385000,10,424700,235670,Petrol,136000
Arunachal Pradesh,Volkswagen,Polo,2013,854000,2,100,33313,Petrol,323000
Madhya Pradesh,MG,Hector,2014,1978000,7,176200,98163,Diesel,295000
Himachal Pradesh,Maruti Suzuki,Swift,2019,622000,9,310900,119254,Petrol,134000
Lakshadweep,Tata,Tiago,2019,644000,5,29200,94889,Petrol,326000
Jharkhand,Maruti Suzuki,Baleno,2023,852000,1,3500,151656,Petrol,607000
Madhya Pradesh,Mahindra,Thar,2020,1524000,8,136800,129708,Diesel,582000
Uttarakhand,Toyota,Fortuner,2022,3526000,1,4100,243693,Petrol,2151000
Manipur,Mahindra,Bolero,2013,1037000,6,148500,131024,Petrol,256000
Andhra Pradesh,Toyota,Fortuner,2010,3488000,2,1200,150409,Diesel,1550000
Telangana,Maruti Suzuki,Swift,2014,637000,4,22200,50651,Petrol,317000
Puducherry,Mahindra,XUV700,2012,1908000,5,11600,225956,Petrol,364000
Himachal Pradesh,Kia,Carens,2011,1521000,4,25000,93705,Diesel,453000
Telangana,Tata,Safari,2011,2450000,3,13600,36062,Petrol,799000
Tripura,Toyota,Innova Crysta,2020,2575000,1,4800,69107,Petrol,2145000
Odisha,Tata,Harrier,2020,1848000,5,13300,213564,Diesel,632000
Goa,Volkswagen,Polo,2012,931000,7,183500,138330,Petrol,93000
Chandigarh,Tata,Harrier,2018,2127000,8,179700,187061,Diesel,413000
Uttar Pradesh,MG,Hector,2013,1733000,4,30900,123510,Petrol,425000
Tripura,MG,Hector,2015,2148000,9,144400,71723,Petrol,428000
Odisha,Volkswagen,Polo,2019,860000,8,184300,15785,Petrol,322000
Chandigarh,Kia,Sonet,2017,1152000,5,30100,88105,Petrol,567000
Manipur,Honda,Elevate,2011,1309000,9,368800,82206,Petrol,186000
Manipur,Hyundai,i20,2010,784000,4,26900,148137,Petrol,252000
Mizoram,Honda,Elevate,2020,1642000,5,17500,226629,Petrol,711000
Lakshadweep,Honda,City,2014,1513000,6,155900,220563,Diesel,239000
Andhra Pradesh,Volkswagen,Polo,2022,903000,7,109700,44133,Petrol,554000
Maharashtra,Volkswagen,Taigun,2022,1507000,8,171000,149864,Diesel,623000
Rajasthan,Mahindra,Bolero,2021,1081000,4,33700,114494,Diesel,643000
Arunachal Pradesh,Toyota,Fortuner,2012,4093000,1,4100,85103,Diesel,2174000
Uttarakhand,Kia,Carens,2022,1506000,9,257100,209116,Diesel,449000
Assam,Tata,Tiago,2015,743000,10,371500,153947,Petrol,78000
Maharashtra,Kia,Seltos,2013,1617000,2,2700,129460,Diesel,648000
Punjab,Hyundai,Creta,2018,1322000,1,4900,51566,Diesel,812000
Madhya Pradesh,Hyundai,Verna,2013,1216000,9,136700,81311,Diesel,225000
Ladakh,Maruti Suzuki,Baleno,2016,806000,3,12300,107525,Petrol,457000
Dadra and Nagar Haveli and Daman and Diu,Hyundai,Verna,2023,1477000,3,18500,59127,Diesel,1174000
Dadra and Nagar Haveli and Daman and Diu,Tata,Harrier,2018,2052000,8,122200,192897,Petrol,474000
Jharkhand,Volkswagen,Taigun,2019,1646000,4,39500,216698,Diesel,492000
Delhi,Volkswagen,Virtus,2021,1432000,5,47400,28882,Diesel,898000
Punjab,Kia,Carens,2023,1536000,7,115300,50908,Petrol,1104000
West Bengal,Volkswagen,Virtus,2012,1573000,10,150100,188113,Diesel,160000
Assam,Mahindra,XUV700,2020,1957000,5,48700,145964,Petrol,984000
Maharashtra,Volkswagen,Virtus,2018,1607000,6,70100,36779,Petrol,739000
Rajasthan,Kia,Sonet,2013,1079000,1,3800,137661,Petrol,478000
Chandigarh,Kia,Sonet,2023,1289000,7,59900,55961,Petrol,877000
Himachal Pradesh,Toyota,Urban Cruiser Hyryder,2017,1719000,2,700,125941,Petrol,1128000
Andaman and Nicobar Islands,Tata,Safari,2023,2411000,3,6200,47301,Petrol,1920000
Haryana,Skoda,Octavia,2011,2902000,1,2200,181001,Petrol,754000
Kerala,Mahindra,Thar,2018,1788000,8,62500,61666,Petrol,837000
Punjab,Volkswagen,Taigun,2010,1544000,7,102900,207482,Petrol,152000
Meghalaya,Mahindra,Thar,2010,1368000,6,100400,8816,Petrol,304000
Gujarat,Tata,Tiago,2018,561000,6,134600,33228,Petrol,228000
Lakshadweep,Kia,Sonet,2013,1063000,6,134800,32757,Petrol,322000
Rajasthan,Maruti Suzuki,Ertiga,2013,1005000,5,47600,22305,Diesel,367000
Maharashtra,Kia,Sonet,2017,1296000,9,398400,31689,Petrol,373000
Gujarat,MG,Astor,2021,1602000,3,26800,106860,Petrol,942000
Rajasthan,Volkswagen,Taigun,2019,1426000,10,335400,244102,Diesel,143000
Manipur,Skoda,Octavia,2010,3184000,1,1000,65976,Diesel,827000
West Bengal,Mahindra,Thar,2015,1389000,5,18200,135738,Petrol,509000
Assam,Mahindra,Bolero,2015,1072000,5,25800,40197,Petrol,466000
Uttarakhand,Honda,City,2021,1286000,6,113500,91840,Petrol,752000
Meghalaya,Mahindra,Bolero,2012,1006000,1,500,120962,Diesel,376000
Madhya Pradesh,Maruti Suzuki,Baleno,2012,962000,3,43800,29054,Petrol,438000
Goa,Kia,Carens,2012,1386000,4,21100,194182,Diesel,301000
Meghalaya,Honda,Amaze,2020,921000,5,36500,57796,Petrol,626000
Telangana,Kia,Sonet,2017,1080000,9,419500,115807,Diesel,154000
Dadra and Nagar Haveli and Daman and Diu,Maruti Suzuki,Ertiga,2011,1076000,5,44000,203930,Petrol,305000
Kerala,Honda,Amaze,2017,890000,7,197400,79245,Petrol,339000
Himachal Pradesh,Volkswagen,Taigun,2013,1345000,1,4100,6095,Diesel,474000
Uttarakhand,Kia,Carens,2017,1347000,10,137300,85690,Diesel,423000
Haryana,Kia,Carens,2022,1258000,5,27800,119372,Diesel,771000
Telangana,Maruti Suzuki,Ertiga,2021,1241000,4,36300,69694,Petrol,916000
Telangana,Maruti Suzuki,Baleno,2017,789000,3,21700,183537,Petrol,370000
Karnataka,Maruti Suzuki,Swift,2020,757000,7,154200,191544,Petrol,254000
Madhya Pradesh,Kia,Seltos,2014,1758000,5,37800,186360,Diesel,432000
Uttarakhand,Hyundai,i20,2022,937000,6,87400,214068,Diesel,386000
Uttar Pradesh,Honda,City,2023,1605000,1,800,133902,Petrol,1251000
Uttarakhand,Skoda,Slavia,2021,1465000,3,16600,117970,Diesel,803000
Himachal Pradesh,Mahindra,Bolero,2011,905000,10,211400,123138,Petrol,88000
Kerala,Mahindra,Scorpio-N,2023,2175000,8,78600,112162,Petrol,1227000
Goa,Kia,Seltos,2015,1493000,10,223100,12776,Diesel,329000
Gujarat,Maruti Suzuki,Swift,2010,651000,10,121900,179410,Petrol,69000
Andhra Pradesh,Kia,Carens,2022,1408000,8,174100,74687,Diesel,777000
Sikkim,Toyota,Urban Cruiser Hyryder,2015,1787000,4,28700,219131,Diesel,624000
Bihar,Toyota,Innova Crysta,2010,2730000,7,86400,124778,Petrol,1100000
Ladakh,Honda,Elevate,2013,1613000,8,174600,101581,Diesel,407000
Andhra Pradesh,Toyota,Fortuner,2023,4161000,6,166500,16994,Petrol,3383000
Uttar Pradesh,MG,Hector,2017,1814000,2,3200,177579,Diesel,534000
Jharkhand,Skoda,Octavia,2021,3256000,1,1000,137287,Diesel,1987000
Punjab,Skoda,Slavia,2017,1261000,8,191700,35324,Petrol,377000
Karnataka,Hyundai,i20,2021,882000,3,26400,12660,Diesel,670000
Manipur,Honda,Elevate,2020,1489000,3,40000,37269,Diesel,1001000
Sikkim,Mahindra,Thar,2016,1669000,7,197300,243594,Diesel,172000
Manipur,Honda,City,2011,1312000,6,99300,28367,Petrol,418000
Himachal Pradesh,Toyota,Innova Crysta,2010,2558000,1,4800,86474,Petrol,1492000
West Bengal,Toyota,Innova Crysta,2022,2723000,9,448000,38110,Petrol,1601000
Andhra Pradesh,Skoda,Slavia,2023,1323000,4,37800,82810,Diesel,908000
Odisha,Tata,Nexon,2014,1236000,2,2200,136695,Diesel,442000
Maharashtra,Volkswagen,Virtus,2016,1486000,6,90000,20417,Petrol,550000
Manipur,Maruti Suzuki,Baleno,2021,941000,5,48200,107710,Petrol,607000
Puducherry,Kia,Sonet,2017,1172000,7,152500,96306,Petrol,463000
Odisha,Honda,Elevate,2021,1690000,9,306400,229461,Petrol,414000
Bihar,Honda,Amaze,2019,942000,8,176500,41060,Petrol,475000
Maharashtra,Mahindra,XUV700,2010,2248000,10,153400,99955,Petrol,291000
West Bengal,Tata,Nexon,2017,1055000,1,1000,52089,Diesel,593000
Jharkhand,Kia,Seltos,2013,1376000,8,129300,108978,Petrol,397000
Tripura,Hyundai,Verna,2020,1442000,5,46400,105165,Diesel,760000
Haryana,Hyundai,i20,2020,798000,9,217900,180319,Petrol,188000
Dadra and Nagar Haveli and Daman and Diu,Honda,Elevate,2022,1610000,3,30200,160419,Diesel,1022000
West Bengal,Honda,Elevate,2015,1331000,9,196900,21645,Diesel,374000
Arunachal Pradesh,Kia,Carens,2022,1533000,9,356100,217912,Petrol,416000
Lakshadweep,Hyundai,Creta,2011,1710000,10,464500,52360,Petrol,162000
Andaman and Nicobar Islands,Toyota,Fortuner,2019,3447000,3,10800,59061,Diesel,2528000
Assam,Hyundai,i20,2015,902000,3,32700,147718,Petrol,368000
Assam,Skoda,Slavia,2017,1467000,10,357100,41662,Diesel,250000
Tamil Nadu,MG,Hector,2020,2007000,1,1900,219896,Petrol,808000
Punjab,Mahindra,XUV700,2013,2164000,6,122700,160132,Petrol,551000
West Bengal,Hyundai,Venue,2020,1021000,3,31200,241889,Diesel,372000
Mizoram,Kia,Carens,2013,1250000,5,46500,23496,Petrol,495000
Jammu and Kashmir,MG,Hector,2012,1854000,7,149300,87931,Petrol,257000
Meghalaya,Hyundai,Venue,2011,976000,9,313300,184301,Petrol,96000
Goa,Toyota,Innova Crysta,2012,2709000,4,22900,232765,Petrol,947000
Manipur,Kia,Seltos,2011,1736000,9,481900,51066,Diesel,175000
Delhi,Hyundai,Venue,2023,1166000,9,242100,78923,Petrol,646000
Karnataka,Toyota,Innova Crysta,2022,2261000,9,389200,199326,Diesel,784000
Himachal Pradesh,Honda,City,2021,1478000,3,14400,45761,Diesel,1100000
Nagaland,Maruti Suzuki,Dzire,2013,850000,10,319300,182790,Diesel,82000
Tamil Nadu,Volkswagen,Polo,2016,842000,4,25000,141470,Petrol,291000
Uttarakhand,Toyota,Fortuner,2011,4162000,4,11100,196352,Petrol,1729000
Goa,Honda,Elevate,2022,1693000,1,3500,234206,Petrol,964000
Jammu and Kashmir,Skoda,Octavia,2010,2662000,4,5500,166555,Diesel,411000
Tamil Nadu,Mahindra,Thar,2012,1652000,9,218000,181821,Petrol,158000
Himachal Pradesh,Skoda,Slavia,2016,1590000,7,94700,134894,Diesel,346000
Sikkim,Mahindra,Thar,2017,1499000,5,19000,81951,Petrol,768000
Uttar Pradesh,Mahindra,Scorpio-N,2020,2145000,1,3800,140142,Diesel,1191000
Andhra Pradesh,MG,Astor,2015,1328000,1,2900,33092,Petrol,561000
Andhra Pradesh,Hyundai,Verna,2011,1297000,9,180600,143699,Diesel,125000
Delhi,Maruti Suzuki,Baleno,2014,919000,8,153600,64269,Petrol,306000
West Bengal,Tata,Harrier,2017,1765000,8,92400,177039,Petrol,417000
West Bengal,Maruti Suzuki,Dzire,2021,892000,2,1600,57026,Diesel,650000
Uttar Pradesh,Kia,Carens,2010,1329000,4,36400,47024,Diesel,349000
Delhi,Skoda,Slavia,2021,1526000,6,154800,38406,Diesel,831000
Gujarat,Maruti Suzuki,Baleno,2018,762000,4,8400,8577,Petrol,495000
Andhra Pradesh,Kia,Sonet,2017,1124000,7,114900,26656,Petrol,514000
Kerala,Mahindra,Scorpio-N,2023,2052000,4,48700,74082,Diesel,1477000
Gujarat,Skoda,Octavia,2023,2713000,3,20000,159978,Petrol,1676000
Assam,Honda,City,2016,1580000,10,204700,9629,Petrol,567000
Tripura,Kia,Carens,2020,1319000,4,27000,65667,Diesel,822000
Jammu and Kashmir,Kia,Carens,2011,1212000,6,123500,75581,Diesel,264000
Meghalaya,Toyota,Fortuner,2010,3618000,6,105600,18665,Diesel,1256000
Gujarat,Kia,Seltos,2017,1481000,6,129800,100310,Petrol,617000
Andhra Pradesh,Skoda,Kushaq,2021,1424000,6,188600,217345,Diesel,390000
Nagaland,Mahindra,Bolero,2011,876000,10,163100,39205,Petrol,88000
Madhya Pradesh,Mahindra,Bolero,2011,1128000,10,279800,148282,Diesel,115000
Madhya Pradesh,Skoda,Octavia,2012,2688000,7,194300,55254,Diesel,381000
Puducherry,Toyota,Innova Crysta,2021,2461000,7,67700,35783,Diesel,1672000
Jammu and Kashmir,Maruti Suzuki,Baleno,2021,875000,5,8000,38799,Petrol,666000
Madhya Pradesh,Kia,Sonet,2023,1266000,2,1400,139607,Diesel,922000
Tripura,Skoda,Slavia,2014,1358000,3,5200,59244,Petrol,523000
Andhra Pradesh,Skoda,Slavia,2021,1402000,5,24900,142644,Petrol,688000
Nagaland,Skoda,Kushaq,2010,1352000,4,24100,144871,Petrol,302000
Nagaland,Tata,Harrier,2010,2224000,4,18800,173404,Petrol,492000
Tamil Nadu,MG,Astor,2021,1326000,9,238400,236731,Petrol,202000
Odisha,Toyota,Fortuner,2010,4151000,6,107500,220988,Diesel,917000
Arunachal Pradesh,Skoda,Octavia,2022,3431000,10,155800,209606,Diesel,1061000
Mizoram,MG,Hector,2013,2081000,5,18400,90003,Diesel,421000
Manipur,Kia,Sonet,2017,1073000,8,97600,29560,Diesel,396000
Kerala,Mahindra,Bolero,2012,1133000,5,6400,174755,Diesel,227000
Kerala,Kia,Carens,2011,1445000,2,3500,42623,Petrol,606000
Uttar Pradesh,Hyundai,Creta,2022,1602000,10,152300,8090,Diesel,938000
Haryana,Maruti Suzuki,Swift,2022,623000,5,14300,26914,Petrol,500000
Andhra Pradesh,Hyundai,Venue,2011,1216000,3,36500,58037,Diesel,407000
Punjab,Toyota,Innova Crysta,2010,2241000,5,46100,147482,Petrol,946000
Assam,Hyundai,Venue,2023,969000,3,5100,113864,Petrol,675000
West Bengal,Kia,Seltos,2014,1530000,7,79500,64214,Diesel,456000
Haryana,Mahindra,Thar,2014,1819000,2,2700,98666,Petrol,870000
Goa,Maruti Suzuki,Baleno,2018,768000,10,195100,92777,Petrol,247000
Punjab,MG,Astor,2011,1336000,8,146800,76065,Diesel,138000
Chhattisgarh,Maruti Suzuki,Baleno,2012,921000,3,30600,88953,Petrol,446000
Dadra and Nagar Haveli and Daman and Diu,Hyundai,i20,2021,921000,3,10900,78000,Diesel,654000
Kerala,Kia,Sonet,2016,1135000,7,137400,131166,Petrol,377000
Meghalaya,Kia,Sonet,2018,1218000,8,189600,144924,Petrol,373000
Uttarakhand,Skoda,Octavia,2022,3249000,4,10700,201158,Petrol,1596000
Maharashtra,Maruti Suzuki,Dzire,2012,814000,2,500,246409,Diesel,210000
Himachal Pradesh,Honda,Amaze,2023,804000,7,113600,149572,Petrol,428000
Bihar,Tata,Nexon,2021,1366000,7,56900,42506,Diesel,795000
Gujarat,MG,Hector,2019,1887000,3,7000,233190,Petrol,554000
Goa,Mahindra,Thar,2023,1366000,7,89200,218309,Petrol,599000
Himachal Pradesh,Skoda,Octavia,2017,3404000,6,166400,112878,Petrol,1146000
Jharkhand,Maruti Suzuki,Swift,2012,722000,3,5700,136935,Petrol,344000
Chandigarh,Skoda,Octavia,2019,3297000,5,19900,136562,Diesel,1345000
Nagaland,Hyundai,Verna,2012,1486000,4,31200,199808,Petrol,391000
Kerala,Skoda,Octavia,2023,3308000,8,175200,186515,Diesel,1490000
Uttar Pradesh,Kia,Seltos,2015,1386000,7,101000,174514,Diesel,276000
Chhattisgarh,Toyota,Urban Cruiser Hyryder,2015,1734000,4,23500,12352,Petrol,1063000
Chhattisgarh,Mahindra,Thar,2014,1723000,9,205800,54215,Petrol,421000
Goa,MG,Hector,2022,1936000,1,400,131827,Diesel,1193000
Punjab,Maruti Suzuki,Dzire,2016,860000,4,25600,136128,Diesel,383000
Himachal Pradesh,Hyundai,Venue,2021,1069000,2,4100,137010,Petrol,655000
Tripura,Volkswagen,Polo,2010,1000000,3,14900,81053,Petrol,243000
Goa,Mahindra,XUV700,2020,2294000,3,37900,41926,Diesel,1531000
Himachal Pradesh,Toyota,Innova Crysta,2023,2395000,1,3200,117958,Petrol,1854000
Chhattisgarh,Tata,Safari,2010,1934000,5,40900,42387,Petrol,486000
Chandigarh,Toyota,Fortuner,2012,4521000,5,42800,22868,Diesel,1941000
Chhattisgarh,Tata,Safari,2017,2040000,8,86800,72115,Petrol,859000
Delhi,Maruti Suzuki,Dzire,2016,886000,10,443100,112225,Petrol,123000
Jammu and Kashmir,MG,Astor,2020,1347000,9,336000,113316,Diesel,309000
Assam,MG,Hector,2013,2037000,9,104200,188434,Petrol,211000
Odisha,Kia,Seltos,2023,1634000,4,30400,24130,Diesel,1370000
Tamil Nadu,Volkswagen,Virtus,2023,1460000,2,700,126858,Petrol,1075000
Uttar Pradesh,Kia,Seltos,2011,1553000,6,177500,88174,Petrol,420000
Dadra and Nagar Haveli and Daman and Diu,Hyundai,Venue,2018,1085000,8,88100,45826,Petrol,505000
Assam,MG,Astor,2022,1216000,7,174100,99763,Petrol,566000
Arunachal Pradesh,Kia,Sonet,2012,1111000,3,9500,26912,Diesel,401000
Punjab,Volkswagen,Virtus,2020,1410000,5,17100,239113,Petrol,422000
West Bengal,Toyota,Innova Crysta,2015,2248000,8,174600,114864,Petrol,1039000
West Bengal,Toyota,Urban Cruiser Hyryder,2023,1634000,9,413100,7603,Petrol,991000
Jharkhand,Toyota,Urban Cruiser Hyryder,2021,1833000,6,53700,199730,Petrol,935000
Jharkhand,Volkswagen,Virtus,2020,1238000,5,39100,111531,Petrol,640000
Himachal Pradesh,Volkswagen,Polo,2011,1027000,4,17300,14564,Petrol,267000
Karnataka,MG,Astor,2013,1281000,10,107500,55111,Diesel,132000
Arunachal Pradesh,Honda,Amaze,2023,901000,8,169500,37701,Petrol,566000
Tamil Nadu,Skoda,Slavia,2022,1410000,2,1400,93034,Diesel,970000
Kerala,Skoda,Octavia,2016,2696000,5,48200,105024,Diesel,885000
Gujarat,Hyundai,i20,2010,789000,7,77200,166548,Diesel,100000
Lakshadweep,Hyundai,Verna,2022,1301000,5,32600,13555,Petrol,976000
Chandigarh,Skoda,Slavia,2023,1238000,2,2900,128096,Diesel,867000
Uttar Pradesh,Maruti Suzuki,Dzire,2018,868000,5,48200,79345,Diesel,454000
Uttarakhand,Mahindra,Thar,2016,1792000,1,200,13565,Petrol,1077000
Ladakh,MG,Astor,2019,1331000,4,41400,117727,Diesel,514000
Uttar Pradesh,Maruti Suzuki,Ertiga,2020,978000,3,31400,107344,Diesel,601000
West Bengal,Mahindra,Thar,2012,1701000,2,4700,137187,Diesel,598000
Mizoram,Skoda,Kushaq,2013,1702000,2,200,29446,Diesel,533000
Jharkhand,Maruti Suzuki,Swift,2010,715000,3,34700,199599,Petrol,224000
Manipur,Honda,City,2013,1415000,7,118300,195398,Petrol,300000
Jharkhand,Maruti Suzuki,Swift,2019,618000,2,1200,37160,Petrol,451000
Kerala,Hyundai,i20,2015,898000,4,30600,244263,Petrol,224000
Arunachal Pradesh,Kia,Seltos,2020,1594000,4,32500,25004,Diesel,1097000
Andaman and Nicobar Islands,Tata,Tiago,2012,611000,10,305400,177927,Petrol,59000
Sikkim,Toyota,Innova Crysta,2019,2871000,1,1300,148257,Diesel,1875000
Madhya Pradesh,MG,Hector,2018,1920000,3,19200,139150,Diesel,661000
Maharashtra,Maruti Suzuki,Dzire,2011,713000,3,22500,195773,Diesel,201000
Goa,Toyota,Urban Cruiser Hyryder,2014,1625000,8,164300,127432,Diesel,562000
Mizoram,Tata,Tiago,2021,686000,7,77000,78684,Petrol,349000
Maharashtra,Volkswagen,Virtus,2016,1561000,5,25900,161324,Petrol,446000
West Bengal,Mahindra,Scorpio-N,2020,1828000,2,3700,219785,Petrol,890000
Jammu and Kashmir,Honda,Elevate,2019,1459000,9,284700,221710,Diesel,222000
Kerala,Toyota,Innova Crysta,2015,2718000,2,1800,69308,Diesel,1623000
Rajasthan,Hyundai,i20,2010,851000,6,106000,192905,Diesel,86000
Rajasthan,Mahindra,Thar,2019,1545000,9,214000,60620,Petrol,668000
Chhattisgarh,MG,Astor,2016,1476000,6,101900,88304,Petrol,421000
Delhi,Volkswagen,Taigun,2016,1721000,2,3700,36263,Petrol,847000
Tripura,Mahindra,Thar,2020,1497000,10,102400,210338,Diesel,318000
Uttar Pradesh,Maruti Suzuki,Swift,2010,666000,8,74900,23206,Petrol,175000
Nagaland,Toyota,Innova Crysta,2018,2425000,6,179500,208060,Petrol,957000
Chandigarh,Volkswagen,Polo,2011,1026000,6,76900,226007,Petrol,100000
Andhra Pradesh,Tata,Nexon,2023,1378000,7,109300,185249,Petrol,631000
Telangana,Skoda,Kushaq,2023,1695000,5,7800,18760,Petrol,1302000
Punjab,Hyundai,Venue,2019,1044000,7,120800,212520,Petrol,307000
Chandigarh,Hyundai,Creta,2012,1419000,10,316700,202403,Diesel,144000
Ladakh,Skoda,Kushaq,2020,1535000,5,26100,133477,Diesel,652000
Mizoram,Honda,Elevate,2018,1312000,4,48200,224032,Petrol,499000
Chhattisgarh,Volkswagen,Taigun,2020,1371000,8,150900,61658,Petrol,621000
Sikkim,Mahindra,Scorpio-N,2014,2048000,8,90400,190732,Petrol,379000
Manipur,Toyota,Innova Crysta,2023,2856000,9,206400,167654,Diesel,1321000
Nagaland,Kia,Seltos,2023,1689000,2,1200,156320,Diesel,1201000
Haryana,Mahindra,Thar,2012,1789000,1,3900,74928,Diesel,690000
Haryana,Skoda,Kushaq,2013,1434000,7,181600,44484,Diesel,203000
Bihar,Volkswagen,Virtus,2010,1345000,7,160800,175032,Petrol,132000
Uttar Pradesh,Tata,Harrier,2017,2018000,7,78600,140952,Petrol,667000
Haryana,Mahindra,Thar,2010,1386000,5,20600,155793,Petrol,360000
Nagaland,Mahindra,Bolero,2011,968000,5,37500,62642,Petrol,279000
Maharashtra,Toyota,Urban Cruiser Hyryder,2019,1498000,1,800,80491,Petrol,1153000
Dadra and Nagar Haveli and Daman and Diu,Honda,Elevate,2015,1382000,2,1400,183636,Petrol,591000
Chandigarh,Tata,Nexon,2016,1260000,1,1500,92570,Diesel,646000
Karnataka,Maruti Suzuki,Dzire,2019,913000,8,114900,5263,Diesel,435000
Arunachal Pradesh,MG,Astor,2018,1541000,3,14600,136896,Petrol,588000
Sikkim,Volkswagen,Virtus,2018,1499000,8,116500,72460,Diesel,500000
Tamil Nadu,Honda,Elevate,2018,1425000,10,353900,208037,Petrol,196000
Ladakh,Maruti Suzuki,Baleno,2023,972000,3,28400,62738,Petrol,747000
West Bengal,Toyota,Fortuner,2013,4293000,7,78300,246342,Diesel,914000
Lakshadweep,Volkswagen,Polo,2020,812000,6,152500,96447,Petrol,350000
Nagaland,Honda,City,2018,1207000,6,82200,188982,Diesel,392000
Tamil Nadu,Honda,City,2017,1597000,3,35600,248068,Petrol,552000
Odisha,MG,Hector,2014,1788000,5,6000,21938,Diesel,421000
Odisha,MG,Hector,2014,1645000,7,142300,6334,Petrol,308000
Himachal Pradesh,Toyota,Innova Crysta,2018,2714000,9,181300,179411,Petrol,1026000
Jharkhand,Mahindra,Bolero,2011,1026000,4,7100,81232,Diesel,304000
Meghalaya,Kia,Sonet,2011,1164000,5,24800,239103,Diesel,129000
West Bengal,Toyota,Urban Cruiser Hyryder,2022,1427000,5,13900,57299,Diesel,1064000
Punjab,Honda,City,2020,1315000,9,196100,125888,Diesel,488000
West Bengal,Hyundai,Creta,2021,1512000,9,459200,87119,Diesel,553000
West Bengal,Volkswagen,Virtus,2017,1594000,9,113900,12254,Diesel,429000
Himachal Pradesh,MG,Astor,2019,1520000,6,83400,139271,Diesel,442000
Uttar Pradesh,Tata,Safari,2017,2312000,9,341300,216676,Petrol,239000
Nagaland,Hyundai,Venue,2023,1131000,10,352400,81172,Diesel,519000
Haryana,MG,Hector,2018,2015000,9,488200,42788,Diesel,408000
Jharkhand,Honda,Elevate,2010,1415000,8,102600,216187,Petrol,172000
Jharkhand,MG,Hector,2013,1911000,2,3900,58554,Petrol,648000
Andaman and Nicobar Islands,Kia,Seltos,2014,1805000,8,98200,111052,Petrol,597000
Lakshadweep,Honda,Elevate,2023,1582000,10,164600,177532,Diesel,620000
Arunachal Pradesh,Tata,Tiago,2020,712000,3,38500,68093,Petrol,447000
Odisha,Honda,Elevate,2019,1320000,6,122100,134227,Diesel,544000
Gujarat,Volkswagen,Virtus,2012,1532000,5,35000,12332,Petrol,395000
Andhra Pradesh,MG,Astor,2020,1204000,10,333000,239152,Petrol,125000
Tamil Nadu,Tata,Safari,2017,2452000,1,1300,77588,Diesel,1340000
Jammu and Kashmir,Mahindra,Scorpio-N,2018,2129000,9,132900,107399,Petrol,791000
Tamil Nadu,MG,Astor,2023,1383000,3,23200,211227,Diesel,778000
Chhattisgarh,Volkswagen,Virtus,2019,1594000,3,42800,177745,Diesel,566000
Rajasthan,MG,Astor,2023,1435000,2,400,110846,Petrol,1090000
Karnataka,Mahindra,Thar,2017,1679000,8,134800,249903,Petrol,246000
Meghalaya,Hyundai,Creta,2016,1603000,7,66900,203132,Petrol,412000
Haryana,Maruti Suzuki,Swift,2015,688000,1,1400,163999,Petrol,342000
Andaman and Nicobar Islands,Kia,Seltos,2019,1835000,4,17800,150874,Diesel,851000
